Date,Open,High,Low,Close,Adj Close,Volume
2011-02-07,70.000000,70.000000,70.000000,70.000000,49.560413,0
2011-02-08,69.910004,69.910004,69.910004,69.910004,49.496704,0
2011-02-09,69.099998,69.099998,69.099998,69.099998,48.923203,0
2011-02-10,69.510002,69.510002,69.510002,69.510002,49.213490,0
2011-02-11,69.480003,69.480003,69.480003,69.480003,49.192242,0
2011-02-14,70.599998,70.599998,70.599998,70.599998,49.985214,0
2011-02-15,70.150002,70.150002,70.150002,70.150002,49.666615,0
2011-02-16,71.010002,71.010002,71.010002,71.010002,50.275501,0
2011-02-17,71.629997,71.629997,71.629997,71.629997,50.714466,0
2011-02-18,71.690002,71.690002,71.690002,71.690002,50.756939,0
2011-02-22,70.839996,70.839996,70.839996,70.839996,50.155132,0
2011-02-23,72.209999,72.209999,72.209999,72.209999,51.125099,0
2011-02-24,71.629997,71.629997,71.629997,71.629997,50.714466,0
2011-02-25,72.760002,72.760002,72.760002,72.760002,51.514507,0
2011-02-28,73.279999,73.279999,73.279999,73.279999,51.882671,0
2011-03-01,72.059998,72.059998,72.059998,72.059998,51.018894,0
2011-03-02,72.599998,72.599998,72.599998,72.599998,51.401222,0
2011-03-03,73.529999,73.529999,73.529999,73.529999,52.059669,0
2011-03-04,73.419998,73.419998,73.419998,73.419998,51.981792,0
2011-03-07,72.900002,72.900002,72.900002,72.900002,51.613628,0
2011-03-08,72.209999,72.209999,72.209999,72.209999,51.125099,0
2011-03-09,71.839996,71.839996,71.839996,71.839996,50.863129,0
2011-03-10,69.489998,69.489998,69.489998,69.489998,49.199322,0
2011-03-11,70.480003,70.480003,70.480003,70.480003,49.900253,0
2011-03-14,70.860001,70.860001,70.860001,70.860001,50.169300,0
2011-03-15,70.169998,70.169998,70.169998,70.169998,49.680763,0
2011-03-16,69.260002,69.260002,69.260002,69.260002,49.036488,0
2011-03-17,71.400002,71.400002,71.400002,71.400002,50.551624,0
2011-03-18,71.389999,71.389999,71.389999,71.389999,50.544540,0
2011-03-21,73.099998,73.099998,73.099998,73.099998,51.755230,0
2011-03-22,72.519997,72.519997,72.519997,72.519997,51.713154,0
2011-03-23,72.690002,72.690002,72.690002,72.690002,51.834389,0
2011-03-24,73.129997,73.129997,73.129997,73.129997,52.148144,0
2011-03-25,73.489998,73.489998,73.489998,73.489998,52.404854,0
2011-03-28,73.120003,73.120003,73.120003,73.120003,52.141018,0
2011-03-29,73.730003,73.730003,73.730003,73.730003,52.575993,0
2011-03-30,74.349998,74.349998,74.349998,74.349998,53.018108,0
2011-03-31,74.260002,74.260002,74.260002,74.260002,52.953930,0
2011-04-01,74.839996,74.839996,74.839996,74.839996,53.367523,0
2011-04-04,74.970001,74.970001,74.970001,74.970001,53.460220,0
2011-04-05,75.010002,75.010002,75.010002,75.010002,53.488750,0
2011-04-06,74.459999,74.459999,74.459999,74.459999,53.096546,0
2011-04-07,74.379997,74.379997,74.379997,74.379997,53.039497,0
2011-04-08,74.830002,74.830002,74.830002,74.830002,53.360397,0
2011-04-11,73.610001,73.610001,73.610001,73.610001,52.490429,0
2011-04-12,71.519997,71.519997,71.519997,71.519997,51.000061,0
2011-04-13,71.699997,71.699997,71.699997,71.699997,51.128418,0
